Parameter,CH2Cl2,CHCl3,C2Cl4,CH3Cl,CFC-11,HCFC-22,SF6,HFC-125,CFC-12,H-1211,HFC-32
a,78.83423183636894,13.470502606944093,2.52896275965754,560.2644709293564,220.33052244490378,258.536259743537,11.560921714049483,47.15232962444963,492.8766079400896,3.059659996336563,44.939359799833284
b,8.867714986805492,0.19791068967356296,0.6994617271035615,-28.147168159760845,-3.617118544206316,-2.092337323467026,0.2941443998823914,4.349782589037293,-5.6790055046398225,-0.12517788376116804,3.852742545530799
c,-2.0402823272409796,-0.0941812646782971,-0.166455984008996,8.890033672304451,0.24121785217834296,-0.40888592152541975,0.0437164307580936,0.0891513378953091,0.46075110695516663,0.009502357462892439,0.5724263520500614
d,5.162417945965546,0.3479335319834531,0.5840426779160971,-4.555885820395787,0.20423603982307464,0.37496139750765545,-0.00026082466622740316,0.4014886552278761,0.5136284332117003,0.0041822236530799795,0.6691174294165106
e,12.065403068859643,-0.18828916339230065,0.4689660332906084,36.81573803128293,0.44704491372789984,0.5887221188858316,0.01386180789742575,-0.1802374386771053,0.8898433147400953,0.013903863889196828,-0.18113220875629216
f,2.883464238053762,-0.1731134331043029,-0.0919099210232738,2.3766809745627593,0.14465907993026475,0.4270048233838325,0.025952251462833795,0.1442622369868982,0.030864734902352132,0.0022303893583467695,0.5111523929626299
g,-2.9336563417867114,-0.00043321223100985885,-0.04931220328628249,-8.725695325643253,0.03788621028601586,-0.3919281962655895,-0.011747071089243312,-0.04197469062471691,-0.22681410384102313,0.0031248903871793927,0.07421220027660455
uncertainty,4.005045490887763,0.7828722233803829,0.48509321311753023,7.874498555900346,0.22371955215078465,0.29957148659386906,0.1471530226827755,0.8295965591612534,0.06911487638216099,0.021600643465700786,1.6316620409331026
